sentence,label
"Dalits ra other disadvantaged groups ko rights kasto defined ra protected hunchha, yo kura kei legal framework through garchha ki direct action le?",0
Lamb dish ko lagi kun wine hunchha best?,0
Curry dish sanga kasto wine suggest garchhau?,0
Grilled fish sanga kasto wine pair hunchha?,0
Tapaiko restaurant ma birthday ko lagi private dining room ko facility chha?,0
Private dining room ko lagi decoration options kasto chha?,0
Special events ko lagi private dining ma ke ke menu options chhan?,0
Private dining room book garne process kasto chha?,0
Kati sano ra thulo group ko lagi private dining room ko capacity chha?,0
Private dining ma overall experience kasto hunchha?,0
Private dining room book garda kati cost aunchha?,0
Yo mahina ko end ma private dining room available chha?,0
Mero private dining ko event ma maile kati special request garna sakchu?,0
Private dining events ko lagi catering service pani provide garinchha?,0
Evening ko time ma live music ko arrangement chha?,0
Yo haptako live entertainment ko schedule kasto chha?,0
Kids lai suitable live entertainment pani chha ta?,0
Live entertainment ko night ko lagi reservation kasari garne ho?,0
Live entertainment herda extra charge lagcha ki lagdaina?,0
Kun kun prakar ko live entertainment hunchha tapai ko restaurant ma?,0
Birthday celebration ko lagi special live entertainment arrange garne ho ki?,0
Live entertainment ko time ma special food packages pani chhan ki?,0
Live entertainment ko duration kati samma hunchha?,0
Live entertainment ko bela ma special song request garna milchha?,0
Cooking class ko schedule kasto cha ra price kati ho?,0
Couples ko lagi kunai special culinary experience cha?,0
Nepal ma manche haru entertainment ko lagi kasto content prefer garchhan?,0
Nepal ma media literacy ra awareness ko level kasto chha?,0
Different platforms ma content consistency kasari maintain garna sakinchha?,0
Content creation ko latest trends ke chhan?,0
Content creation ma SEO ko role kasto chha?,0
Existing content lai kasari repurpose garna sakinchha?,0
User-generated content ko benefits ke chhan?,0
Tight budget ma content creation ko challenges haru k hunchhan?,0
Influencers sanga content creation ko lagi kasari effectively collaborate garna sakinchha?,0
Social media ko role public image manage garna ma kati important chha?,0
Online reputation monitor ra improve garna ko lagi tapai haru ko service kasto chha?,0
Hamro audience lai engage garna ko lagi digital communication strategies ma kun kun ideas ramro hunchha?,0
PR crisis ko lagi kasto preparation rakhnu parne ho?,0
Influencer sanga collaboration le hamro brand lai kasto benefit garna sakchha?,0
Digital platforms ko lagi tapai haru content creation services kasto provide garchha?,0
Social media advertising campaigns le kati effective hunchha?,0
Hamro executives ko lagi media training ko sessions kasto chha?,0
Upcoming event manage ra promote garna ko lagi kasto assistance pauna sakchhu?,0
Press release distribution ra analysis ko process kasto hunchha?,0
Kun naya media platforms chhan jaha ma mero naya product ko marketing garna sakchu?,0
Kun media platforms haru chhan jasle young demographic lai target garna madat garchha?,0
New media platforms ma advertise garda traditional media ko tulana ma ke ke faida hunchha?,0
New media platforms ma marketing campaigns ko success kasari measure garne?,0
Emerging media platforms ma advertise garna ko laagi cost kati effective hunchha?,0
New media platforms ma user sanga resonate garne content kasari create garne?,0
New media platforms ma marketing garne kram ma influencers ko role kasto hunchha?,0
New media platforms ma live streaming le marketing ko lagi kati potential chha?,0
School ko admission ko lagi k criteria haru k k hun?,0
Nepal ma school ko curriculum update bhayo ki bhayena?,0
A-levels ra +2 ma difference k ho?,0
Nepal ko schools ma vocational education ko scope kasto chha?,0
Online education ko trend Nepal ma kasto chha aajkal?,0
Project-based learning ko importance Nepal ma bujheko chha ki chhaina?,0
Nepal visit garda budget kasari plan garne? Tips dinu na.,0
Nepal trip ko lagi per day ko kharcha kati hola?,0
Pokhara jada kati budget rakhne hola?,0
Nepal trekking garda budget ko barema kehi suggestion dinu na.,0
Nepal ma luxury travel ko laagi budget kasari plan garne?,0
Local culture ko barema Nepal ma ke ke thaha pauna sakchhu?,0
"Bro, Nepal ma trekking packages ko option haru kasto chha? Affordable chha ki chhaina?",0
Nepal visit garda cultural heritage sites ko tour package ko barema thaha pauna sakchhu?,0
Nepal ma adventure sports ko lagi kei special packages chha ki chhaina?,0
"Jungle safari ko experience kasari pauna sakchhu Nepal ma, koi package chha?",0
Newly married couple ko lagi Nepal ma honeymoon packages ko barema kehi jankari dinus na.,0
Nepal visit garda health ra safety ko lagi ke ke precautions linu parchha?,0
"Nepal jane plan banaudai chu, kasaile bhanna sakcha ki vaccination ko requirement k cha?",0
"Bro, Nepal ma high altitude ma trekking garda sickness avoid garna ko lagi k garnu parla?",0
Yadi Nepal ma travel garda emergency situation aayo bhane k garnu parchha?,0
Kathmandu ra aru thulo sahar haru ma health facilities kasto paucha?,0
Pokhara ko main attractions kei kei ho?,0
Mustang jada must visit places haru kun kun hun?,0
Lumbini ma kasari ko attractions haru chhan?,0
Tapaiko online courses recognized accreditation chha ki chhaina?,0
Online class attend garna ko lagi k k technical requirements chhan?,0
Online courses ma instructors sanga interaction kasari hunchha?,0
Online courses ko duration kati hunchha?,0
Online courses ko lagi tapai haru scholarships offer garnu hunchha?,0
Online course complete garepachi certification kasto paucha?,0
Online courses ma kun kun subjects ko options chhan?,0
Online courses ma exam ra assessment kasari hunchha?,0
Career counseling ko barema kasari thaha paune?,0
Career counselor ko qualification kasto hunu parchha?,0
Career counseling ko lagi kunai charge lagcha ki lagdaina?,0
Career counseling sessions kahile hununchha?,0
Career counseling session book garne process k cha?,0
Career counseling services ma ke ke types ko services hunchha?,0
University application ko lagi pani career counseling help garchha?,0
Group counseling sessions pani chhan ki chhaina?,0
Career counseling session ma confidentiality ko kasto arrangement chha?,0
Personal development ma career counseling kasari madat garchha?,0
High school level ko lagi computer science ko courses haru chhan?,0
Elementary level ko bacha haru ko lagi music ra arts ko program chha?,0
Adults ko lagi language learning courses haru chhan?,0
Middle school students ko lagi STEM programs chhan?,0
School le extracurricular activities ra sports programs offer garchha?,0
Talented students ko lagi scholarship ko suvidha chha?,0
Learning disabilities bhayeko bacha haru ko lagi special education program chha?,0
Nepal ko popular singers ko naam ra unko famous songs kun kun ho?,0
Nepali actors haru le international movies ma kam gareko chha ki chhaina?,0
Nepali music industry ko evolution kasto raheko chha?,0
Nepali movies haru ko box office collection ma sabai bhanda successful kun kun movies haru chhan?,0
Nepal ko traditional dance forms kun kun ho?,0
Nepal ma stand-up comedy ko scene kasto chha?,0
Nepali literature bata adapted films kun kun chhan?,0
Nepali youth haru entertainment industry ma kasto involvement ra influence rakhdai chhan?,0
Rara lake kaha parchha?,0
Mount Everest ko height kati ho?,0
Nepal ma glacier lakes kati wota chhan?,0
Nagarkot ko altitude kati ho?,0
Patan Durbar Square exactly kaha parchha?,0
Annapurna Circuit trek ko total distance kati ho?,0
Kali Gandaki river ko origin kaha bata ho?,0
Indra Jatra ko festival kahile hunchha?,0
Chitwan National Park ma kun kun janawar haru herne milchha?,0
Pokhara ko population kati chha?,0
Nepal ma kati prakar ko dharma haru chhan?,0
Nepal ma dherai Hindu haru chhan ki Buddhist?,0
Yo Hindu ra Buddhist dharma haru Nepal ma kasari aayo?,0
Nepal ma religious population ko growth kasto chha hajur?,0
Nepal ma dharma ko bich ma harmony kasto chha?,0
Nepal ma kasto kasto religious festivals manainchha?,0
Nepal ko famous religious sites kun kun chhan?,0
Personal data lai secure rakhna ko lagi Nepal ma ke ke upay garne?,0
Nepal sarkar le cybersecurity ko lagi kehi gareko chha?,0
Online shopping garda data leak bhayo bhane k garnu parchha?,0
Nepal ma VPN use garne ko legal chha?,0
Software license ko barema kasari thaha paune?,0
"Mero computer slow bhayo, hardware upgrade garnu parla?",0
Best antivirus chai kun ho nepal ma use garna lai?,0
Tech support service kasari pauna sakincha Nepal ma?,0
"Data lost bhayo, recovery kasari garne Nepal ma?",0
Yo IT field ma aile k kura trending chhan?,0
Cloud computing ko barema thaha pauna sakchu?,0
Cyber security ko lagi k kura haru important hunchha?,0
AI ra ML ko future Nepal ma kasto dekhchhau?,0
Remote work lai support garna ko lagi kaile technologies chhan?,0
Nepal ma technology solutions ko future kasto dekhchau?,0
Yo AI ko trend Nepal ma kati popular huna thalyo?,0
Tech startups ko lagi Nepal ma kasto environment chha?,0
Blockchain technology Nepal ma katti implement bhaisakyo?,0
Nepal ma software development ko quality kasto chha re?,0
Nepal ko international relations ma aile ko status k cha ra?,0
Nepal ma governance system kasto chha?,0
Public administration ko quality improve garna Nepal sarkarle kei gardo raicha?,0
Local level ma governance ramro chha ki central level ko comparison ma?,0
Nepal ko public administration ma corruption ko issue kasari tackle gariyeko chha?,0
"Nepal ma public services delivery system kasto chha, efficient chha ki chhaina?",0
Religious education Nepal ma kati prasiddha chha?,0
Nepal ma dharma ko tolerance ko level kasto chha?,0
Nepal ma religious conversion ko chalan chha ki chhaina?,0
Nepal ma total kati wota constitution bhaisakyo hola?,0
Constitution ma vako major changes haru ke ke ho?,0
Nepal ko current constitution ko success ma key figures ko contribution kasto cha?,0
Nepali constitution ma aja samma kati amendment bhako chha ra kina?,0
Nepali constitution draft garne process kasto thiyo?,0
Nepali constitution implement garda k kisim ko challenges aayo?,0
Constitutional literacy improve garna Nepal ma ke ke initiatives chalirako chha?,0
Nepali constitution le kun kun fundamental rights guarantee garchha?,0
Nepal ma aile constitutional reform ko kura chaliracha ra?,0
Legal cases ma Nepali constitution lai kasari interpret gariyeko hunchha?,0
Prime Minister ko naam ke ho aile?,0
Hami ko desh ko Education Minister ko naam tha chha?,0
"Hajur, Nepal ko Finance Minister ko halkhabar cha?",0
Aba Health Minister ko naam bhanidinu na?,0
Tourism Minister ko barema kei janakari pauna sakchhu?,0
Defense Minister ko current status kasto chha?,0
Foreign Affairs Minister ko naam k ho?,0
Home Affairs Minister ko portfolio kasto chha?,0
Agriculture Minister ko karyakalap haru barema thaha pauna sakchhu?,0
Industry Minister ko naam ra yo karyakram kasto chha?,0
Yo restaurant ko cultural specialties k k ho?,0
Newari dishes ko barema kehi bhanidinu na!,0
Digital contracts ko legal validity kasto hunchha?,0
IT infrastructure upgrade garda latest cyber laws sanga kasto compliance ko aavashyakta parchha?,0
Contract negotiation ko lagi kun strategies follow garnu parne ho?,0
Legal agreements ma kasari ensure garne ki legally binding chha?,0
Legal advisor ko role contract negotiation ma kasto hunchha?,0
Contract negotiation ma common pitfalls avoid garna ko lagi tips dinu na.,0
Contract negotiations ma effectively communicate garna ko lagi kei tips chha?,0
Contract negotiations ma timing ko importance kasto hunchha?,0
Contract negotiations ma non-verbal cues ko significance kina important chha?,0
Contract negotiations ma leverage kasari effectively use garne?,0
Negotiation effective way ma kasari close garne?,0
Contract negotiations ma counteroffers lai kasari handle garne best way k ho?,0
Business ko operation ma legal risk minimize garna ko lagi kei strategies suggest garna saknuhunchha?,0
Employee training le litigation risk kam garna ma kati important chha?,0
Yadi business ma lawsuit arise bhayo bhane kasari handle garne?,0
Contracts ko role litigation risk management ma ke ho?,0
Litigation risk management plan ko benefits kei chhan?,0
Legal changes sanga updated rahera litigation risks avoid garna ko lagi kei advice cha?,0
Insurance le litigation risks manage garna ma kasto impact parne ho?,0
Legal teams sanga kasto effective communication garnu parchha litigation risks manage garna ko lagi?,0
Employees lai litigation risk management ma involve garna ko lagi kei ways suggest garna saknuhunchha?,0
Risk management ma legal audits ko necessity kina chha?,0
Yo k vako cha real estate law ma naya changes haru? Mero business ra personal lagani ma kasto asar parla?,0
"Maile suneko chu property laws ma naya changes aayeko re, yo mero upcoming real estate purchase ma kasari asar parla?",0
Mero inherited property ma naya property law ko changes le kasto asar parla?,0
Special dietary requirements ko lagi arrange garna saknuhunchha?,0
Group event ko lagi live music ko vyawastha chha?,0
Group event ma guests ko lagi parking ko facility chha?,0
Tapaiko restaurant ma local ingredients use garchha?,0
Seasonal menu ma ke ke parne re?,0
Organic khana options chhan tapai ko menu ma?,0
Farm to table concept practice garchha tapai ko restaurant le?,0
Taja sabji haru use garchha tapai ko restaurant ma?,0
Local specialties ke ke chhan?,0
Vegetarian options chhan menu ma?,0
Sustainable practices ko barema kehi jankari dinu na tapai ko restaurant ko?,0
Gluten-free options chhan?,0
Yas season ko specials ke ke chhan?,0
Aaja ko chef ko special k cha?,0
Chef le naya swad ko kei dishes introduce gareko chha?,0
Chef ko specials ma vegetarian option chha ki chhaina?,0
"Malaai khaasai masaledar khana man parchha, chef ko special ma kei spicy option chha?",0
Bachha haru lai suitable chef ko special dishes chha ki chhaina?,0
Chef ko specials ma gluten-free options chha?,0
Chef ko specials ma traditional Nepali dishes chha ki chhaina?,0
Chef ko specials ma low-calorie dishes chha?,0
Chef ko specials ma dairy-free options chha?,0
Chef ko specials ma organic ingredients ko use gareko chha?,0
Tapainko yaha eco-friendly gadiharu chhan?,0
City bhitra eco-friendly tarikale jada k chha option?,0
Naya property laws sanga adjust garera mero real estate strategies kasari update garne?,0
Mero rental properties haru lai naya property laws anusar legal compliance kasari maintain garne?,0
Property law ko changes le mero real estate investments ko lagi loan secure garna ma kasto asar parcha?,0
First-time homebuyers ko lagi naya property laws le ke ke faida haru lyayeko cha?,0
Mero real estate portfolio ma naya property laws le tax implications kasto parla?,0
Naya laws sanga mero real estate assets lai kunai legal issues bata kasari protect garne?,0
"Yadi maile socheko chu ki naya property laws mero situation lai unfair cha, ma appeal garna sakchu?",0
Overtime pay ko legal requirements k cha Nepal ma?,0
Nepal ko different sectors ko lagi minimum wage kati ho?,0
Personal reasons ko lagi leave linu ko employee ko rights k cha?,0
Workplace discrimination ko against ma complaint file garne process k cha?,0
Company le layoff garema workers ko legal protections k cha?,0
Workplace ma health and safety ko lagi legal requirements k cha?,0
Employees ko lagi union membership ko process ra benefits k cha?,0
Nepal ma employment ko lagi legal age kati ho?,0
Part-time workers ra full-time workers ko rights ma k k cha farak?,0
Tapaiko legal service ma kasto innovative tech solutions prayog garchhan legal process ra compliance ko lagi?,0
Legal documentation ma time kati bachat hunchha legal tech solutions ko use le?,0
Legal tech solutions use garda sensitive legal data ko security ko lagi k kadam chhanchhan?,0
Tapaiko legal tech solutions kasari latest laws ra regulations sanga update hunchha?,0
Legal tech solutions ma artificial intelligence ko use kasari garchhan?,0
Legal tech solutions implement garda cost-effective hunchha ki hundaina?,0
Hamro team lai legal tech solutions use garna ko lagi kasto training chahiyo hola?,0
Tapaiko legal tech solutions hamro specific legal needs sanga adaptable chha?,0
Tapaiko legal tech solutions multiple jurisdictions ra international compliance handle garna sakchha?,0
Scholarship application ko deadline kahile ho? Extension milcha ki mildaina?,0
Tuition fees ko detailed breakdown dinu hunchha? Kunaikunai hidden charges chhan ki chhainan?,0
International students ko lagi pani scholarships chha ki chhaina?,0
Campus ma part-time job ko opportunities chha? Tuition fees support garna.,0
Full scholarships provide garne ho ki nai? Kasari consider hune process chha?,0
Tuition fees ko lagi payment plan options k k chhan? Customize garna milcha?,0
Students with disabilities ko lagi scholarships chha?,0
Sports ma ramro gareko students lai scholarships ko eligibility k cha?,0
Campus ma library ko suvidha chha?,0
Campus ma computer labs chhan?,0
Campus ma sports facilities haru ke ke chhan?,0
Campus ma music ra art ko lagi rooms chhan?,0
Campus ma dining options kasto chha?,0
Campus ma medical facilities chha?,0
Campus ma swimming pool chha?,0
Campus ma parking ko facility chha?,0
Campus ma Wi-Fi chha?,0
Campus ma counseling services chhan?,0
Campus ma gym facility chha ki chhaina? Ani kun time samma open huncha?,0
School le mental health support pani provide garchha?,0
Campus vitra health clinic chha? K kasto services dinchha?,0
Yoga ra meditation sessions campus ma hunchha ki hundaina?,0
Stress management ko lagi school le kehi program chalako chha?,0
Campus ma dietitian ya nutritionist chhan ki chhainan?,0
School le health awareness programs haru conduct garne gardeko chha ki chhaina?,0
Bike sharing program le local businesses sanga partnership gareko chha?,0
Bike sharing program ko environmental impact kasto chha?,0
Airport transfer service chha tapaiko sanga?,0
Airport shuttle ko timings haru kati baje ko chhan?,0
Airport pickup kasari arrange garna sakinchha?,0
Airport shuttle service ko laagi kati charge hunchha?,0
Airport transfer ma luggage kasari handle garinchha?,0
Airport transfer ko lagi advance ma booking garnu parchha?,0
Thulo group ko lagi airport transfer ko option chha?,0
Airport transfer ko lagi k kisim ko vehicles chhan?,0
Personalized airport transfer service pauna sakincha?,0
Airport transfer garda safety measures k kasto chha?,0
Kathmandu ko traffic jam ko situation kasto chha aile?,0
Traffic bata bachna ko lagi kun time ma travel garne ramro hola?,0
Lalitpur bata Bhaktapur jane route ma traffic kasto chha hola?,0
Aaja Ratnapark area ma kuna road haru bandha chhan event ko lagi?,0
Aile kahi protest chalirako chha ra traffic ma effect parirako chha?,0
Pachhillo pani pareko le traffic ma kei problem aako chha?,0
Weekend ma traffic ko pattern kasari hunchha usually?,0
Thamel visit garna ko lagi traffic avoid garna kun time best hunchha?,0
Festivals ko bela Kathmandu ma traffic kasto hunchha?,0
Pokhara jane highway ko road condition kasto chha aile?,0
Disabled manche haru ko lagi kun kun transportation options available chhan?,0
Disabled individuals ko lagi transportation service ko cost kati ho?,0
Disabled passengers ko lagi safety measures kasto chha tapai haru ko service ma?,0
Tharu community ko traditional cuisine kasto hunchha?,0
Kathmandu valley ko women haru ko traditional clothing kasto hunchha?,0
Rai community ko traditional music kasto hunchha?,0
Tihar festival ko bela special foods kun kun hunchhan?,0
Rhododendron ko rukh Nepal ma kaha paucha?,0
Yarsagumba ko benefits ke ke chhan ra yas Nepal ma kaha paucha?,0
Nepal ma kati prakar ko orchids hunchha ra tyasko use ke chha?,0
Nepal ma kasto kasto bamboo hunchha ra tyasko importance ke chha?,0
Nepal ma lotus flower kaha paucha ra yasko cultural significance ke chha?,0
Nepal ma Chrysanthemum kasari cultivate garchha ra yasko benefits ke chhan?,0
Nepal ma Tulsi kasari cultivate garchha ra yasko benefits ke ke chhan?,0
Nepal ma Aloe Vera kasari cultivate garchha ra tyasko uses ke ke chhan?,0
Nepal ma mint kasari cultivate garchha ra tyasko uses ke chhan?,0
Kathmandu ma top schools ko list pauna sakchhu?,0
Nepal ma IT related courses kaha kaha chhan?,0
Nepali schools ma kun curriculum follow garchhan?,0
Higher studies ko lagi Nepal ma scholarships kaha kaha pauna sakchhu?,0
Nepal ma popular online learning platforms kun kun chhan?,0
Study abroad consultancy haru ko barema thaha pauna sakchhu?,0
Japanese language sikauna Nepal ma kaha kaha classes chhan?,0
Entrance exam preparation ko lagi best coaching centers Nepal ma kun kun chhan?,0
Vocational training programs Nepal ma kaha kaha pauna sakchhu?,0
Extracurricular activities ma focus gareko schools Nepal ma kun kun chhan?,0
Rajesh Hamal ko kati award haru chhan?,0
Nepali film industry ma kaile kai profession haru hunchhan?,0
Students le international exchange programs ma participate garna pauchhan?,0
Entrepreneurship ma interested students ko lagi mentorship program chha?,0
Scientific research ma interested students lai kasto suvidha ra support chha?,0
Media campaign ko success kasari measure garchhau?,0
Media campaign ko ROI kasto improve garna sakincha?,0
Media campaigns ma audience lai kasari effectively target garna sakinchha?,0
Social media ma engagement badhauna ko lagi ke ke garnu parchha?,0
Advertising campaigns ko lagi effective media buying strategies k ho?,0
Content marketing ko lagi best practices kati ho?,0
Influencer sanga collaboration garne process kasto hunchha media campaigns ma?,0
Video marketing media campaigns ma kati effective hunchha?,0
Digital advertising ko latest trends kati ho?,0
Cross-platform marketing ko benefits ra implement garna ko tarika k ho?,0
Virtual events organize garna ko lagi tapai haru ko service kasto cha?,0
Webinar host garna ko lagi kun kun options chhan tapai sanga?,0
Webinars ma interactive features ko kasto setup chha tapai haru sanga?,0
Virtual events lai customize garna milcha ta?,0
Digital conferences manage garna ko process kasto chha?,0
Virtual events ma networking ko lagi kasto opportunities chhan?,0
Event pachi ko content access garna milcha?,0
Live streaming ko quality kasto hunthyo?,0
Virtual events ma sponsorship kasari manage garchhau?,0
Engaging content kasari create garna sakinchha social media ko lagi?,0
Content calendar lai effectively manage garne tarika k ho?,0
Content ko success kasari measure garna sakinchha?,0
Uttaradhikar ko kanoon kasto cha Nepal ma?,0
Consumer ko rights kasari protect garchha Nepal ma?,0
Nepal ma citizen ko fundamental rights k k ho?,0
Court case file garne process kasto chha Nepal ma?,0
Consumer ko right bare ma jankari dinu na.,0
Property transfer garnu cha bhane k garne ho?,0
"Company le employee sanga contract break gareko cha, k garnu parchha?",0
Yo dispute resolution ra mediation ko process Nepal ma kasto cha?,0
Kanoon ko advice ko lagi kaha jau Nepal ma?,0
Court case file garne process kasto cha Nepal ma?,0
Jagga ko dispute kasari solve garna sakincha Nepal ma?,0
Garib manche haru lai legal aid kasto sanga paucha Nepal ma?,0
Business suru garne kram ma legal consultation ko lagi kaha jane?,0
School ko environment ra culture kasto hunchha?,0
School haru ma green initiatives ko barema kehi bhanu na?,0
School ma discipline ko lagi kunai policies chha ki chhaina?,0
School activities ma parents ko involvement kasto hunchha?,0
Schools ma technology ko use kasto hunchha education ma?,0
Our school ko teachers ko qualifications kasto hunchha?,0
New teachers lai training dinu parchha school le?,0
Weak students lai kasari support garchha hamro school le?,0
Students lai mental health support pani chha ki chhaina?,0
Teachers ko teaching license ko requirement chha ki chhaina?,0
Yo school ma extracurricular activities ko option k cha?,0
School ko facility haru kasto cha?,0
Gurung dishes chha tapai ko restaurant ma?,0
Festivals ko lagi kehi special cultural dishes chha?,0
Magar cuisine ko options chha?,0
Sherpa cuisine ko barema kehi jankari dinu na!,0
Best cultural dishes ko recommendation cha?,0
Nepali cultural cuisine ma vegan options chha?,0
Cultural food event ko lagi catering service chha?,0
Restaurant ko signature cultural dish kun ho?,0
Tapai ko restaurant ma sustainability ko lagi ke ke practices follow garincha?,0
Pani ko conservation ko lagi tapai haru le ke ke upay haru apnayeko hununchha?,0
Tapai haru ko restaurant ma renewable energy sources ko use garchha ki nai?,0
Local farmers lai support garne gari tapai haru le kasto sourcing garne garchha?,0
Plastic ko use kam garna ko lagi tapai haru ko restaurant ma k kadam chalnu bhayeko chha?,0
Food waste lai manage garna ko lagi tapai ko restaurant ma k kisim ko strategy chha?,0
Sustainability ma participate garne customers lai kehi incentive offer garchha tapai ko restaurant?,0
Tapai ko restaurant ma kuna kuna green certifications haru chhan?,0
Sustainable food options tapai ko menu ma chhan ki chhaina?,0
Sustainability ko barema tapai haru ko staff haru lai kasto training dinunchha?,0
Steak dinner sanga kun wine ramro huncha?,0
Seafood ko lagi kasto wine ramro hola?,0
Vegetarian khana sanga kasto wine huncha ramro?,0
Cheese platter ko lagi kun wine suggest garchhau?,0
Masaledar khana ko lagi kasto wine hunchha best?,0
Dessert sanga kasto wine pairing hunchha ramro?,0
Pizza sanga kasto wine khane ho?,0
Election ko lagi campaign kasari chalayeko hunchha Nepal ma?,0
Nepal ma political challenges haru k k hunchhan hola?,0
Nepal ko political stability ko lagi k garnu parchha?,0
Youth haru politics ma kasari involved huna sakchhan Nepal ma?,0
Election reforms ko barema Nepal ma k kura haru chalirako chha?,0
Federalism le Nepal ko local governance ma kasto asar paryo?,0
"Nepal ma political ideologies ko barema ali bujhna man lagyo, kehi batauna sakchhau?",0
share bazar ko recent trend kasto chha?,0
Nepal ma investment ko lagi kun sector ma potential chha?,0
Personal finance manage garna ko lagi kehi tips dinu na.,0
Nepal ko economic indicators haru ko barema jankari dinu na.,0
"Stock market ko basic bujhna man lagyo, k vannu hunchha?",0
"Risk management ko barema bhanidinu na, Nepal ma kasari garincha?",0
Cyber security ko lagi Nepal ma k kasto preparation hunchha?,0
Nepal ma investment ra savings ko lagi k k options chhan?,0
"Bro, financial planning garna ko lagi kati paisa ko jarurat parcha?",0
Kun type ko investment ramro hunchha aajkal ko market ma?,0
Yo mahina ko end ma paisa kina sakkina sakkyo yaar?,0
"Dai, karja bata kasaari mukti paune ho?",0
Retirement planning ko lagi early start garna kina jaruri chha?,0
Digital payments ko popularity kina badhdai chha Nepal ma?,0
"Compliance ra Regulatory ko kura ma, company lai k kura haru ma dhyan dinu parcha Nepal ma?",0
Jagga ko dispute kasari solve garne Nepal ma?,0
Bihe darthyaune process kasto cha Nepal ma?,0
Kids ko lagi cooking class cha?,0
Vegetarian cooking class cha ta?,0
Upcoming themed cooking classes ko barema jankari pauna sakchhu?,0
International cuisines ko cooking class cha?,0
Traditional Nepali cooking class cha?,0
Beginners ko lagi cooking class cha?,0
Baking ko lagi kunai class cha?,0
Food presentation ra plating techniques sikna milne cooking class cha?,0
Tapaiko restaurant ma vegan meal options chha?,0
Gluten-free meals paucha yaha?,0
"Mero peanut allergy chha, tapaiharu ko menu ma allergy-friendly options chhan?",0
Kun kun vegan desserts chhan tapaiharu sanga?,0
Maile specific allergies anusar customized meal order garna sakchu?,0
Bihana ko breakfast ma vegan options ke ke chhan?,0
Gluten-free pizza paucha yaha?,0
Nut-free meals ko options chhan tapaiharu ko menu ma?,0
Dairy-free cuisine options chhan?,0
Diabetics lai healthy meal options chha?,0
Kati jana samma ko group lai dining ko arrangement garna saknuhunchha?,0
Birthday party ko lagi kunai special arrangement hunta?,0
Group reservation ma vegetarian options chhan ki chhaina?,0
Thulo group ko booking ma discount pauna sakincha?,0
Private dining area book garna milchha group ko lagi?,0
Group booking ko lagi advance payment kati chha?,0
Group reservation cancel garema policy kasto chha?,0
